TEKLİF NUMARASI,HASARSIZLIK İNDİRİMİ KADEMESİ,TRAFİK BASAMAK KODU,MARKA,ARAÇ YAŞI,MODEL YILI,YAKIT TİPİ,İL,İLÇE,YAŞ ,TEKLİF PRİMİ,PORTFÖY AYRIMI,SİGORTALI TİPİ,TEKLİF ONAY DURUMU
15397,0%,6,FORD,3,2021,DIZEL,İSTANBUL,,0,13.697,YENİ İŞ,T,P
15398,0%,7,TOYOTA,3,2021,BENZİN,ANKARA,BEYPAZARI,39,7.414,İLK DEFA SİGORTALI,O,T
15399,40%,8,MERCEDES,2,2022,DIZEL,İSTANBUL,,0,22.471,YENİ İŞ,T,P
15400,40%,7,HONDA,5,2019,BENZİN,İZMİR,KARABAĞLAR,29,11.492,YENİ İŞ,O,P
15401,0%,4,VOLKSWAGEN,2,2022,DIZEL,İSTANBUL,BAĞCILAR,53,9.634,İLK DEFA SİGORTALI,O,T
15402,30%,4,FORD,1,2023,BENZİN,İSTANBUL,KADIKÖY,28,11.801,YENİ İŞ,O,T
15403,30%,5,TOYOTA,1,2023,DIZEL,ANKARA,ÇANKAYA,45,9.893,YENİ İŞ,O,T
15404,40%,3,FORD,2,2022,DIZEL,İSTANBUL,,0,13.727,YENİ İŞ,T,T
15405,0%,7,FORD,1,2023,DIZEL,İSTANBUL,PENDİK,45,10.447,İLK DEFA SİGORTALI,O,P
15406,0%,4,RENAULT,5,2019,DIZEL,İZMİR,GÜZELBAHÇE,49,18.565,İLK DEFA SİGORTALI,O,T
15407,50%,7,MERCEDES,4,2020,BENZİN,İSTANBUL,KADIKÖY,37,15.268,YENİ İŞ,O,T
15408,0%,4,VOLKSWAGEN,2,2022,BENZİN,İSTANBUL,ESENYURT,24,12.048,İLK DEFA SİGORTALI,O,T
15409,0%,7,RENAULT,2,2022,DIZEL,İSTANBUL,,0,21.813,İLK DEFA SİGORTALI,T,T
15410,30%,4,FORD,1,2023,BENZİN,İSTANBUL,KARTAL,35,8.725,YENİ İŞ,O,T
15411,60%,7,FORD,4,2020,DIZEL,İSTANBUL,,0,10.590,YENİ İŞ,T,T
15412,0%,4,VOLKSWAGEN,5,2019,BENZİN,İSTANBUL,ESENYURT,23,26.300,İLK DEFA SİGORTALI,O,T
15413,30%,7,VOLKSWAGEN,3,2021,DIZEL,İSTANBUL,,0,20.440,YENİ İŞ,T,T
15414,0%,4,FORD,2,2022,DIZEL,İSTANBUL,,0,18.381,YENİLEME,T,P
15415,60%,7,VOLKSWAGEN,1,2023,BENZİN,İZMİR,BAYRAKLI,39,7.740,YENİ İŞ,O,T
15416,0%,4,FORD,4,2020,DIZEL,İZMİR,ALİAĞA,27,12.053,İLK DEFA SİGORTALI,O,P
15417,0%,4,TOYOTA,2,2022,DIZEL,İZMİR,KARŞIYAKA,50,9.069,İLK DEFA SİGORTALI,O,P
15418,30%,5,FORD,2,2022,DIZEL,İSTANBUL,ESENYURT,29,5.909,YENİ İŞ,O,T
15419,0%,4,RENAULT,2,2022,BENZİN,İSTANBUL,,0,16.238,İLK DEFA SİGORTALI,T,T
15420,30%,8,HONDA,3,2021,BENZİN,ANKARA,MAMAK,42,6.042,YENİ İŞ,O,T
15422,0%,7,MERCEDES,2,2022,DIZEL,ANKARA,,0,16.469,İLK DEFA SİGORTALI,T,P
15423,40%,5,TOYOTA,2,2022,BENZİN,İSTANBUL,KARTAL,28,7.706,YENİ İŞ,O,T
15424,40%,6,FORD,2,2022,DIZEL,ANKARA,,0,11.395,YENİ İŞ,T,T
15425,30%,5,FORD,1,2023,DIZEL,İZMİR,,0,18.437,YENİLEME,T,P
15426,0%,5,TOYOTA,2,2022,BENZİN,ANKARA,KEÇİÖREN,44,9.325,İLK DEFA SİGORTALI,O,T
15427,0%,4,VOLKSWAGEN,3,2021,BENZİN,İSTANBUL,BAYRAMPAŞA,37,13.993,İLK DEFA SİGORTALI,O,T
15428,60%,8,TOYOTA,4,2020,BENZİN,ANKARA,PURSAKLAR,46,4.758,YENİ İŞ,O,T
15429,30%,7,VOLKSWAGEN,3,2021,BENZİN,İZMİR,TİRE,32,6.540,YENİ İŞ,O,T
15430,30%,4,MERCEDES,4,2020,DIZEL,İZMİR,BUCA,42,42.176,YENİ İŞ,O,T
15431,60%,8,VOLKSWAGEN,4,2020,BENZİN,İZMİR,KARABAĞLAR,56,11.015,YENİLEME,O,T
15432,0%,4,VOLKSWAGEN,3,2021,DIZEL,İSTANBUL,SULTANBEYLİ,45,17.318,İLK DEFA SİGORTALI,O,T
15433,0%,5,RENAULT,1,2023,DIZEL,İZMİR,MENDERES,34,9.802,YENİ İŞ,O,T
15434,0%,5,VOLKSWAGEN,0,2024,BENZİN,İSTANBUL,ÇEKMEKÖY,33,7.838,İLK DEFA SİGORTALI,O,T
15435,0%,3,FORD,1,2023,DIZEL,İSTANBUL,SANCAKTEPE,31,17.509,İLK DEFA SİGORTALI,O,T
15436,60%,7,VOLKSWAGEN,4,2020,BENZİN,İSTANBUL,ÜMRANİYE,60,9.969,YENİ İŞ,O,T
15437,0%,5,FORD,5,2019,DIZEL,İSTANBUL,,0,26.441,İLK DEFA SİGORTALI,T,T
15438,40%,5,VOLKSWAGEN,2,2022,BENZİN,İSTANBUL,,0,11.095,YENİ İŞ,T,T
15439,50%,8,TOYOTA,4,2020,BENZİN,ANKARA,YENİMAHALLE,63,7.241,YENİ İŞ,O,T
15440,30%,4,MERCEDES,2,2022,BENZİN,ANKARA,ÇANKAYA,47,11.448,YENİ İŞ,O,T
15441,0%,4,FORD,1,2023,BENZİN,İZMİR,KONAK,50,9.610,İLK DEFA SİGORTALI,O,P
15442,0%,5,RENAULT,1,2023,BENZİN,İSTANBUL,BEŞİKTAŞ,53,11.952,İLK DEFA SİGORTALI,O,T
15443,0%,5,RENAULT,1,2023,DIZEL,İSTANBUL,,0,15.439,YENİ İŞ,T,T
15444,0%,4,VOLKSWAGEN,3,2021,BENZİN,İSTANBUL,,0,11.537,İLK DEFA SİGORTALI,T,T
15445,0%,4,RENAULT,2,2022,BENZİN,İSTANBUL,SANCAKTEPE,46,14.564,İLK DEFA SİGORTALI,O,T
15446,0%,5,VOLKSWAGEN,1,2023,DIZEL,İSTANBUL,KARTAL,35,13.460,İLK DEFA SİGORTALI,O,T
15447,50%,6,VOLKSWAGEN,3,2021,BENZİN,İSTANBUL,,0,12.223,YENİ İŞ,T,T
15448,60%,7,FORD,3,2021,BENZİN,İSTANBUL,,0,8.851,YENİ İŞ,T,P
